pearson_r_cam_vs_cold,high_cam_px,iou_vs_coldest,iou_expected_by_chance,cam_peak_row,cam_peak_col,coldest_row,coldest_col,peak_to_coldest_dist_px,storm_id,storm_name,timestamp,wind_kt,is_interpolated,wind_now,wind_24h_ago,delta24_kt,is_RI
0.7200001508178351,11757,0.4692576855786053,0.1327050059258423,135,131,113,99,38.8329756778952,AL092022,IAN,2022-09-27 05:00:00+00:00,97.5,True,97.5,62.5,35.0,True
0.6476459976850514,11886,0.4616330545991146,0.1343567020098116,133,132,117,102,34.0,AL092022,IAN,2022-09-27 06:00:00+00:00,100.0,False,100.0,65.0,35.0,True
0.6145731076032351,10557,0.4912070061445017,0.117567793306977,136,135,108,102,43.2781700167648,AL092022,IAN,2022-09-27 07:00:00+00:00,104.0,True,104.0,65.83333333333333,38.16666666666667,True
0.6296744166442653,11482,0.5489005800620531,0.1291999549904355,138,134,106,96,49.678969393496885,AL092022,IAN,2022-09-27 08:00:00+00:00,108.0,True,108.0,66.66666666666667,41.33333333333333,True
0.6163827409298918,10671,0.5963796843443788,0.1189884144913638,120,127,97,98,37.01351104664349,AL092022,IAN,2022-09-27 09:00:00+00:00,108.57142857142856,True,108.57142857142856,67.5,41.071428571428555,True
0.6482446731500127,11224,0.4764535648513549,0.1259312449510816,128,133,54,183,89.30845424706443,AL092022,IAN,2022-09-27 10:00:00+00:00,105.71428571428572,True,105.71428571428572,68.33333333333333,37.380952380952394,True
0.543758640354934,13078,0.3320431859849256,0.1498498980223205,134,134,31,155,105.11898020814318,AL092022,IAN,2022-09-27 11:00:00+00:00,102.85714285714286,True,102.85714285714286,69.16666666666667,33.69047619047619,True
0.4710441143440225,11830,0.29594128279564,0.1336390953661236,132,131,33,163,104.04326023342406,AL092022,IAN,2022-09-27 12:00:00+00:00,100.0,False,100.0,70.0,30.0,True
0.5105484686248885,15078,0.2913669064748201,0.1768182564439336,123,118,34,164,100.18482919085103,AL092022,IAN,2022-09-27 13:00:00+00:00,100.83333333333331,True,100.83333333333331,71.66666666666667,29.166666666666643,False
0.468402294624177,11045,0.3178618303305094,0.1236745159953867,130,117,156,204,90.80198235721508,AL092022,IAN,2022-09-27 14:00:00+00:00,101.66666666666669,True,101.66666666666669,73.33333333333333,28.333333333333357,False
