pearson_r_cam_vs_cold,high_cam_px,iou_vs_coldest,iou_expected_by_chance,cam_peak_row,cam_peak_col,coldest_row,coldest_col,peak_to_coldest_dist_px,storm_id,storm_name,timestamp,wind_kt,is_interpolated,sample_time,lat,lon,dist_to_nearest_land_km,nearest_land
0.4398937680651875,9091,0.7016378100140384,0.0996153888298397,117,134,119,117,17.11724276862369,AL022024,BERYL,2024-06-30 11:00:00+00:00,97.5,True,2024-06-30 11:00:00+00:00,10.483333333333334,-53.71666666666667,877.1893845492723,Grenada/Carriacou
0.4427368562314064,9466,0.7109805693628558,0.1041524547234997,121,134,83,121,40.162171256046406,AL022024,BERYL,2024-06-30 12:00:00+00:00,100.0,False,2024-06-30 12:00:00+00:00,10.5,-54.0,846.8715445149745,Grenada/Carriacou
0.466619603482815,10874,0.6877231103523204,0.1215270792820581,132,126,35,147,99.24716620639605,AL022024,BERYL,2024-06-30 13:00:00+00:00,102.5,True,2024-06-30 13:00:00+00:00,10.566666666666666,-54.28333333333333,815.0531321367832,Grenada/Carriacou
0.5249765376918759,10151,0.6206593757483835,0.1125375550160197,118,121,115,124,4.242640687119285,AL022024,BERYL,2024-06-30 14:00:00+00:00,105.0,True,2024-06-30 14:00:00+00:00,10.633333333333333,-54.56666666666667,783.2423255911652,Grenada/Carriacou
0.6172304352810623,10373,0.7203748237830666,0.1152824547950077,117,116,115,125,9.219544457292889,AL022024,BERYL,2024-06-30 15:00:00+00:00,107.5,True,2024-06-30 15:00:00+00:00,10.7,-54.85,751.4393239497053,Grenada/Carriacou
0.6481479706343066,9282,0.6334359876814782,0.1019215987701767,115,116,67,73,64.4437739428721,AL022024,BERYL,2024-06-30 16:00:00+00:00,110.0,True,2024-06-30 16:00:00+00:00,10.766666666666667,-55.13333333333333,719.644353429595,Grenada/Carriacou
0.6662030588824026,10127,0.5205705705705705,0.1122416181767802,115,115,26,96,91.00549433962765,AL022024,BERYL,2024-06-30 17:00:00+00:00,112.5,True,2024-06-30 17:00:00+00:00,10.833333333333334,-55.41666666666667,687.8576736127294,Grenada/Carriacou
0.6633567437684773,9061,0.4087375621890547,0.0992540338039894,117,116,72,120,45.17742799230607,AL022024,BERYL,2024-06-30 18:00:00+00:00,115.0,False,2024-06-30 18:00:00+00:00,10.9,-55.7,656.0795854659541,Grenada/Carriacou
0.6103515827702254,8957,0.4159026240910528,0.0980031730401006,116,115,106,125,14.142135623730953,AL022024,BERYL,2024-06-30 19:00:00+00:00,114.16666666666669,True,2024-06-30 19:00:00+00:00,10.95,-55.96666666666667,626.5803681884456,Grenada/Carriacou
0.5606259883385808,8962,0.4416472291482345,0.0980632454316664,114,115,79,120,35.35533905932738,AL022024,BERYL,2024-06-30 20:00:00+00:00,113.33333333333331,True,2024-06-30 20:00:00+00:00,11.0,-56.23333333333333,597.0970866526345,Grenada/Carriacou
